"show_1","show_2","distance"
"Ouran High School Host Club","Gurren Lagann","0.613901418913389"
"Gurren Lagann","Ouran High School Host Club","0.613901418913389"
"Ouran High School Host Club","Guilty Crown","0.704197313374653"
"Guilty Crown","Ouran High School Host Club","0.704197313374653"
"Ouran High School Host Club","Seraph of the End: Vampire Reign","0.730826478796049"
"Seraph of the End: Vampire Reign","Ouran High School Host Club","0.730826478796049"
"Ouran High School Host Club","5 Centimeters Per Second","0.576190025015316"
"5 Centimeters Per Second","Ouran High School Host Club","0.576190025015316"
"Ouran High School Host Club","Magi: The Labyrinth of Magic","0.677869453232549"
"Magi: The Labyrinth of Magic","Ouran High School Host Club","0.677869453232549"
"Ouran High School Host Club","Bakemonogatari","0.646427466937638"
"Bakemonogatari","Ouran High School Host Club","0.646427466937638"
"Ouran High School Host Club","Your Lie in April","0.684729158820961"
"Your Lie in April","Ouran High School Host Club","0.684729158820961"
"Ouran High School Host Club","My Hero Academia","0.705454548693261"
"My Hero Academia","Ouran High School Host Club","0.705454548693261"
"Ouran High School Host Club","Deadman Wonderland","0.64696639839261"
"Deadman Wonderland","Ouran High School Host Club","0.64696639839261"
"Ouran High School Host Club","Love, Chunibyo & Other Delusions!","0.692002086486208"
"Love, Chunibyo & Other Delusions!","Ouran High School Host Club","0.692002086486208"
"Ouran High School Host Club","Hyouka","0.679651817204997"
"Hyouka","Ouran High School Host Club","0.679651817204997"
"Ouran High School Host Club","Tokyo Ghoul √A","0.723215307148252"
"Tokyo Ghoul √A","Ouran High School Host Club","0.723215307148252"
"Ouran High School Host Club","Death Parade","0.67863698372476"
"Death Parade","Ouran High School Host Club","0.67863698372476"
"Ouran High School Host Club","Black Lagoon","0.655911803979292"
"Black Lagoon","Ouran High School Host Club","0.655911803979292"
"Ouran High School Host Club","The Familiar of Zero","0.599104218973165"
"The Familiar of Zero","Ouran High School Host Club","0.599104218973165"
"Ouran High School Host Club","Clannad","0.545342574094581"
"Clannad","Ouran High School Host Club","0.545342574094581"
"Ouran High School Host Club","Overlord","0.783465062605213"
"Overlord","Ouran High School Host Club","0.783465062605213"
"Ouran High School Host Club","Angel Beats!","0.569885697911194"
"Angel Beats!","Ouran High School Host Club","0.569885697911194"
"Ouran High School Host Club","Another","0.623021071906274"
"Another","Ouran High School Host Club","0.623021071906274"
"Ouran High School Host Club","Black Butler","0.468618835910571"
"Black Butler","Ouran High School Host Club","0.468618835910571"
"Ouran High School Host Club","Code Geass: Lelouch of the Rebellion","0.514521637208806"
"Code Geass: Lelouch of the Rebellion","Ouran High School Host Club","0.514521637208806"
"Maid Sama!","My Little Monster","0.400184041373842"
"My Little Monster","Maid Sama!","0.400184041373842"
"Maid Sama!","Bleach","0.613746304067251"
"Bleach","Maid Sama!","0.613746304067251"
"Maid Sama!","Naruto: Shippuden","0.748201533265961"
"Naruto: Shippuden","Maid Sama!","0.748201533265961"
"Maid Sama!","Toradora!","0.41830364741626"
"Toradora!","Maid Sama!","0.41830364741626"
"Maid Sama!","One Piece","1"
"One Piece","Maid Sama!","1"
"Maid Sama!","Fairy Tail","0.578249979824569"
"Fairy Tail","Maid Sama!","0.578249979824569"
"Maid Sama!","The Devil is a Part-Timer!","0.510062315501538"
"The Devil is a Part-Timer!","Maid Sama!","0.510062315501538"
"Maid Sama!","Darker than Black","0.602633493248638"
"Darker than Black","Maid Sama!","0.602633493248638"
"Maid Sama!","Hunter x Hunter","0.670511352762451"
"Hunter x Hunter","Maid Sama!","0.670511352762451"
"Maid Sama!","The Seven Deadly Sins","0.625538439572014"
"The Seven Deadly Sins","Maid Sama!","0.625538439572014"
"Maid Sama!","Dragon Ball Z","0.686389374761909"
"Dragon Ball Z","Maid Sama!","0.686389374761909"
"Maid Sama!","Assassination Classroom","0.641385011716559"
"Assassination Classroom","Maid Sama!","0.641385011716559"
"Maid Sama!","Your Name.","0.609365516087629"
"Your Name.","Maid Sama!","0.609365516087629"
"Maid Sama!","Tokyo Ghoul","0.542265379570794"
"Tokyo Ghoul","Maid Sama!","0.542265379570794"
"Maid Sama!","KILL la KILL","0.658035156239496"
"KILL la KILL","Maid Sama!","0.658035156239496"
"Maid Sama!","Beyond the Boundary","0.565747515739456"
"Beyond the Boundary","Maid Sama!","0.565747515739456"
"Maid Sama!","My Teen Romantic Comedy SNAFU","0.520310218972353"
"My Teen Romantic Comedy SNAFU","Maid Sama!","0.520310218972353"
"Maid Sama!","Princess Mononoke","0.650273928231637"
"Princess Mononoke","Maid Sama!","0.650273928231637"
"Maid Sama!","Howl&#039;s Moving Castle","0.615686658701599"
"Howl&#039;s Moving Castle","Maid Sama!","0.615686658701599"
"Maid Sama!","Fullmetal Alchemist: Brotherhood","0.542849075907376"
"Fullmetal Alchemist: Brotherhood","Maid Sama!","0.542849075907376"
"Maid Sama!","Is It Wrong to Try to Pick Up Girls in a Dungeon?","0.607664045060556"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?","Maid Sama!","0.607664045060556"
"Maid Sama!","Clannad ~After Story~","0.514619283153135"
"Clannad ~After Story~","Maid Sama!","0.514619283153135"
"Maid Sama!","Steins;Gate","0.565264154748194"
"Steins;Gate","Maid Sama!","0.565264154748194"
"Maid Sama!","Psycho-Pass","0.585665943725091"
"Psycho-Pass","Maid Sama!","0.585665943725091"
"Maid Sama!","The Pet Girl of Sakurasou","0.526371625957376"
"The Pet Girl of Sakurasou","Maid Sama!","0.526371625957376"
"Maid Sama!","Charlotte","0.610835676908554"
"Charlotte","Maid Sama!","0.610835676908554"
"Maid Sama!","When They Cry","0.656574510353448"
"When They Cry","Maid Sama!","0.656574510353448"
"Maid Sama!","Kuroko&#039;s Basketball","0.543179273850845"
"Kuroko&#039;s Basketball","Maid Sama!","0.543179273850845"
"Maid Sama!","Fate/Zero Season 2","0.628974432204321"
"Fate/Zero Season 2","Maid Sama!","0.628974432204321"
"Maid Sama!","Log Horizon","0.612394817178276"
"Log Horizon","Maid Sama!","0.612394817178276"
"Maid Sama!","Dragon Ball","0.693275611544179"
"Dragon Ball","Maid Sama!","0.693275611544179"
"Maid Sama!","My Hero Academia 2","0.688483242593996"
"My Hero Academia 2","Maid Sama!","0.688483242593996"
"Maid Sama!","Naruto","0.559454176870578"
"Naruto","Maid Sama!","0.559454176870578"
"Maid Sama!","High School of the Dead","0.505629304589913"
"High School of the Dead","Maid Sama!","0.505629304589913"
"Maid Sama!","anohana: The Flower We Saw That Day","0.500198904744148"
"anohana: The Flower We Saw That Day","Maid Sama!","0.500198904744148"
"Maid Sama!","Neon Genesis Evangelion","0.681326411873723"
"Neon Genesis Evangelion","Maid Sama!","0.681326411873723"
"Maid Sama!","Sword Art Online II","0.582815127750467"
"Sword Art Online II","Maid Sama!","0.582815127750467"
"Maid Sama!","Mob Psycho 100","0.713873518648678"
"Mob Psycho 100","Maid Sama!","0.713873518648678"
"Maid Sama!","The Melancholy of Haruhi Suzumiya","0.582392022138342"
"The Melancholy of Haruhi Suzumiya","Maid Sama!","0.582392022138342"
"Maid Sama!","Blue Exorcist","0.472955899671235"
"Blue Exorcist","Maid Sama!","0.472955899671235"
"Maid Sama!","Akame ga Kill!","0.604495801986394"
"Akame ga Kill!","Maid Sama!","0.604495801986394"
"Maid Sama!","Spice and Wolf","0.589164656307561"
"Spice and Wolf","Maid Sama!","0.589164656307561"
"Maid Sama!","Haikyu!!","0.60756185525669"
"Haikyu!!","Maid Sama!","0.60756185525669"
"Maid Sama!","High School DxD","0.575307598509974"
"High School DxD","Maid Sama!","0.575307598509974"
"Maid Sama!","K-ON!","0.554359054592941"
"K-ON!","Maid Sama!","0.554359054592941"
"Maid Sama!","Sword Art Online","0.472563835956244"
"Sword Art Online","Maid Sama!","0.472563835956244"
"Maid Sama!","Noragami: Stray God","0.509734907672706"
"Noragami: Stray God","Maid Sama!","0.509734907672706"
"Maid Sama!","Fate/Zero","0.604603445792817"
"Fate/Zero","Maid Sama!","0.604603445792817"
"Maid Sama!","Samurai Champloo","0.686254072208088"
"Samurai Champloo","Maid Sama!","0.686254072208088"
"Maid Sama!","No Game, No Life","0.541774693631055"
"No Game, No Life","Maid Sama!","0.541774693631055"
"Maid Sama!","Gintama","0.684685396743497"
"Gintama","Maid Sama!","0.684685396743497"
"Maid Sama!","A Silent Voice","0.648722494082367"
"A Silent Voice","Maid Sama!","0.648722494082367"
"Maid Sama!","Noragami Aragoto","0.602880043726149"
"Noragami Aragoto","Maid Sama!","0.602880043726149"
"Maid Sama!","Nisekoi: False Love","0.557751252711572"
"Nisekoi: False Love","Maid Sama!","0.557751252711572"
"Maid Sama!","Spirited Away","0.582417894274703"
"Spirited Away","Maid Sama!","0.582417894274703"
"Maid Sama!","Baccano!","0.671245262017968"
"Baccano!","Maid Sama!","0.671245262017968"
"Maid Sama!","Food Wars! Shokugeki no Soma","0.591263069735101"
"Food Wars! Shokugeki no Soma","Maid Sama!","0.591263069735101"
"Maid Sama!","Code Geass: Lelouch of the Rebellion R2","0.545167381111937"
"Code Geass: Lelouch of the Rebellion R2","Maid Sama!","0.545167381111937"
"Maid Sama!","Black Bullet","0.617547895827733"
"Black Bullet","Maid Sama!","0.617547895827733"
"Maid Sama!","Death Note","0.516089229263532"
"Death Note","Maid Sama!","0.516089229263532"
"Maid Sama!","Attack on Titan","0.499059151142339"
"Attack on Titan","Maid Sama!","0.499059151142339"
"Maid Sama!","Soul Eater","0.575846044408132"
"Soul Eater","Maid Sama!","0.575846044408132"
"Maid Sama!","Terror in Resonance","0.62076321652978"
"Terror in Resonance","Maid Sama!","0.62076321652978"
"Maid Sama!","Elfen Lied","0.563052801854331"
"Elfen Lied","Maid Sama!","0.563052801854331"
"Maid Sama!","One Punch Man","0.581895647165072"
"One Punch Man","Maid Sama!","0.581895647165072"
"Maid Sama!","Cowboy Bebop","0.708001841624796"
"Cowboy Bebop","Maid Sama!","0.708001841624796"
"Maid Sama!","Puella Magi Madoka Magica","0.607257934444195"
"Puella Magi Madoka Magica","Maid Sama!","0.607257934444195"
"Maid Sama!","The Future Diary","0.519775965043072"
"The Future Diary","Maid Sama!","0.519775965043072"
"Maid Sama!","Attack on Titan Season 2","0.667849510857667"
"Attack on Titan Season 2","Maid Sama!","0.667849510857667"
"Maid Sama!","Parasyte -the maxim-","0.61463985325004"
"Parasyte -the maxim-","Maid Sama!","0.61463985325004"
"Maid Sama!","Fate/stay night","0.600340202640746"
"Fate/stay night","Maid Sama!","0.600340202640746"
"Maid Sama!","KonoSuba: God&#039;s Blessing on This Wonderful World!","0.646741970723857"
"KonoSuba: God&#039;s Blessing on This Wonderful World!","Maid Sama!","0.646741970723857"
"Maid Sama!","Durarara!!","0.510422895421848"
"Durarara!!","Maid Sama!","0.510422895421848"
"Maid Sama!","ERASED","0.596727468666675"
"ERASED","Maid Sama!","0.596727468666675"
"Maid Sama!","Fullmetal Alchemist","0.610903716837139"
"Fullmetal Alchemist","Maid Sama!","0.610903716837139"
"Maid Sama!","Re:ZERO -Starting Life in Another World-","0.638006577679112"
"Re:ZERO -Starting Life in Another World-","Maid Sama!","0.638006577679112"
"Maid Sama!","BTOOOM!","0.564528077076432"
"BTOOOM!","Maid Sama!","0.564528077076432"
"Maid Sama!","Gurren Lagann","0.636061694207903"
"Gurren Lagann","Maid Sama!","0.636061694207903"
"Maid Sama!","Guilty Crown","0.54153725737842"
"Guilty Crown","Maid Sama!","0.54153725737842"
"Maid Sama!","Seraph of the End: Vampire Reign","0.610887667781978"
"Seraph of the End: Vampire Reign","Maid Sama!","0.610887667781978"
"Maid Sama!","5 Centimeters Per Second","0.574445012676913"
"5 Centimeters Per Second","Maid Sama!","0.574445012676913"
"Maid Sama!","Magi: The Labyrinth of Magic","0.585890920485474"
"Magi: The Labyrinth of Magic","Maid Sama!","0.585890920485474"
"Maid Sama!","Bakemonogatari","0.542244036294297"
"Bakemonogatari","Maid Sama!","0.542244036294297"
"Maid Sama!","Your Lie in April","0.558435724015819"
"Your Lie in April","Maid Sama!","0.558435724015819"
"Maid Sama!","My Hero Academia","0.627098624244612"
"My Hero Academia","Maid Sama!","0.627098624244612"
"Maid Sama!","Deadman Wonderland","0.565075568223189"
"Deadman Wonderland","Maid Sama!","0.565075568223189"
"Maid Sama!","Love, Chunibyo & Other Delusions!","0.540771492102197"
"Love, Chunibyo & Other Delusions!","Maid Sama!","0.540771492102197"
"Maid Sama!","Hyouka","0.53408414473989"
"Hyouka","Maid Sama!","0.53408414473989"
"Maid Sama!","Tokyo Ghoul √A","0.605878304590442"
"Tokyo Ghoul √A","Maid Sama!","0.605878304590442"
"Maid Sama!","Death Parade","0.605682103048289"
"Death Parade","Maid Sama!","0.605682103048289"
"Maid Sama!","Black Lagoon","0.661008379023188"
"Black Lagoon","Maid Sama!","0.661008379023188"
"Maid Sama!","The Familiar of Zero","0.516706136116441"
"The Familiar of Zero","Maid Sama!","0.516706136116441"
"Maid Sama!","Clannad","0.495895101258094"
"Clannad","Maid Sama!","0.495895101258094"
"Maid Sama!","Overlord","0.656969827757048"
"Overlord","Maid Sama!","0.656969827757048"
"Maid Sama!","Angel Beats!","0.464328576221823"
"Angel Beats!","Maid Sama!","0.464328576221823"
"Maid Sama!","Another","0.524615741064604"
"Another","Maid Sama!","0.524615741064604"
"Maid Sama!","Black Butler","0.540748623958884"
"Black Butler","Maid Sama!","0.540748623958884"
"Maid Sama!","Code Geass: Lelouch of the Rebellion","0.530432252240172"
"Code Geass: Lelouch of the Rebellion","Maid Sama!","0.530432252240172"
"My Little Monster","Bleach","0.619877843193154"
"Bleach","My Little Monster","0.619877843193154"
"My Little Monster","Naruto: Shippuden","0.722902776948348"
"Naruto: Shippuden","My Little Monster","0.722902776948348"
"My Little Monster","Toradora!","0.419707445520276"
"Toradora!","My Little Monster","0.419707445520276"
"My Little Monster","One Piece","1"
"One Piece","My Little Monster","1"
"My Little Monster","Fairy Tail","0.561263210261875"
"Fairy Tail","My Little Monster","0.561263210261875"
"My Little Monster","The Devil is a Part-Timer!","0.424321123374599"
"The Devil is a Part-Timer!","My Little Monster","0.424321123374599"
"My Little Monster","Darker than Black","0.622076775762063"
"Darker than Black","My Little Monster","0.622076775762063"
"My Little Monster","Hunter x Hunter","0.623372117516654"
"Hunter x Hunter","My Little Monster","0.623372117516654"
"My Little Monster","The Seven Deadly Sins","0.565699482439193"
"The Seven Deadly Sins","My Little Monster","0.565699482439193"
"My Little Monster","Dragon Ball Z","0.682799887074012"
"Dragon Ball Z","My Little Monster","0.682799887074012"
"My Little Monster","Assassination Classroom","0.588705380752078"
"Assassination Classroom","My Little Monster","0.588705380752078"
"My Little Monster","Your Name.","0.543478166810745"
"Your Name.","My Little Monster","0.543478166810745"
"My Little Monster","Tokyo Ghoul","0.479797226109744"
"Tokyo Ghoul","My Little Monster","0.479797226109744"
"My Little Monster","KILL la KILL","0.584606531507332"
"KILL la KILL","My Little Monster","0.584606531507332"
"My Little Monster","Beyond the Boundary","0.461005197611398"
"Beyond the Boundary","My Little Monster","0.461005197611398"
"My Little Monster","My Teen Romantic Comedy SNAFU","0.424908972731593"
"My Teen Romantic Comedy SNAFU","My Little Monster","0.424908972731593"
"My Little Monster","Princess Mononoke","0.641117216100795"
"Princess Mononoke","My Little Monster","0.641117216100795"
"My Little Monster","Howl&#039;s Moving Castle","0.615325588487827"
"Howl&#039;s Moving Castle","My Little Monster","0.615325588487827"
"My Little Monster","Fullmetal Alchemist: Brotherhood","0.539450801151328"
"Fullmetal Alchemist: Brotherhood","My Little Monster","0.539450801151328"
"My Little Monster","Is It Wrong to Try to Pick Up Girls in a Dungeon?","0.538789262305861"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?","My Little Monster","0.538789262305861"
"My Little Monster","Clannad ~After Story~","0.530630358747921"
"Clannad ~After Story~","My Little Monster","0.530630358747921"
"My Little Monster","Steins;Gate","0.516496521113891"
"Steins;Gate","My Little Monster","0.516496521113891"
"My Little Monster","Psycho-Pass","0.511492797570134"
"Psycho-Pass","My Little Monster","0.511492797570134"
"My Little Monster","The Pet Girl of Sakurasou","0.43048735950942"
"The Pet Girl of Sakurasou","My Little Monster","0.43048735950942"
"My Little Monster","Charlotte","0.533572686919479"
"Charlotte","My Little Monster","0.533572686919479"
"My Little Monster","When They Cry","0.664112251660224"
"When They Cry","My Little Monster","0.664112251660224"
"My Little Monster","Kuroko&#039;s Basketball","0.504019468820693"
"Kuroko&#039;s Basketball","My Little Monster","0.504019468820693"
"My Little Monster","Fate/Zero Season 2","0.574992262674344"
"Fate/Zero Season 2","My Little Monster","0.574992262674344"
"My Little Monster","Log Horizon","0.552641517170138"
"Log Horizon","My Little Monster","0.552641517170138"
"My Little Monster","Dragon Ball","0.694415504559493"
"Dragon Ball","My Little Monster","0.694415504559493"
"My Little Monster","My Hero Academia 2","0.622824958620172"
"My Hero Academia 2","My Little Monster","0.622824958620172"
"My Little Monster","Naruto","0.576378689980052"
"Naruto","My Little Monster","0.576378689980052"
"My Little Monster","High School of the Dead","0.513321498744155"
"High School of the Dead","My Little Monster","0.513321498744155"
"My Little Monster","anohana: The Flower We Saw That Day","0.438193184497329"
"anohana: The Flower We Saw That Day","My Little Monster","0.438193184497329"
"My Little Monster","Neon Genesis Evangelion","0.669595669285064"
"Neon Genesis Evangelion","My Little Monster","0.669595669285064"
"My Little Monster","Sword Art Online II","0.523815949772621"
"Sword Art Online II","My Little Monster","0.523815949772621"
"My Little Monster","Mob Psycho 100","0.64152235949819"
"Mob Psycho 100","My Little Monster","0.64152235949819"
"My Little Monster","The Melancholy of Haruhi Suzumiya","0.590076428477744"
"The Melancholy of Haruhi Suzumiya","My Little Monster","0.590076428477744"
"My Little Monster","Blue Exorcist","0.452382856263515"
"Blue Exorcist","My Little Monster","0.452382856263515"
"My Little Monster","Akame ga Kill!","0.544615829376117"
"Akame ga Kill!","My Little Monster","0.544615829376117"
"My Little Monster","Spice and Wolf","0.599687676845757"
"Spice and Wolf","My Little Monster","0.599687676845757"
"My Little Monster","Haikyu!!","0.542725082510986"
"Haikyu!!","My Little Monster","0.542725082510986"
"My Little Monster","High School DxD","0.553641874503288"
