"show_1","show_2","distance"
"Sword Art Online II","Fairy Tail","0.477927441731527"
"Fairy Tail","Blue Exorcist","0.447737892500655"
"Blue Exorcist","Fairy Tail","0.447737892500655"
"Fairy Tail","Akame ga Kill!","0.478688400224296"
"Akame ga Kill!","Fairy Tail","0.478688400224296"
"Fairy Tail","Sword Art Online","0.433560316289736"
"Sword Art Online","Fairy Tail","0.433560316289736"
"Fairy Tail","Noragami: Stray God","0.480767924067379"
"Noragami: Stray God","Fairy Tail","0.480767924067379"
"Fairy Tail","No Game, No Life","0.474208479155191"
"No Game, No Life","Fairy Tail","0.474208479155191"
"Fairy Tail","Code Geass: Lelouch of the Rebellion R2","0.570836976749575"
"Code Geass: Lelouch of the Rebellion R2","Fairy Tail","0.570836976749575"
"Fairy Tail","Death Note","0.547600192331799"
"Death Note","Fairy Tail","0.547600192331799"
"Fairy Tail","Attack on Titan","0.452834431264627"
"Attack on Titan","Fairy Tail","0.452834431264627"
"Fairy Tail","Soul Eater","0.545448029153103"
"Soul Eater","Fairy Tail","0.545448029153103"
"Fairy Tail","Elfen Lied","0.611586332923753"
"Elfen Lied","Fairy Tail","0.611586332923753"
"Fairy Tail","One Punch Man","0.504316058257998"
"One Punch Man","Fairy Tail","0.504316058257998"
"Fairy Tail","The Future Diary","0.502987337473168"
"The Future Diary","Fairy Tail","0.502987337473168"
"Fairy Tail","Fullmetal Alchemist","0.615365640165833"
"Fullmetal Alchemist","Fairy Tail","0.615365640165833"
"Fairy Tail","Gurren Lagann","0.620531392724922"
"Gurren Lagann","Fairy Tail","0.620531392724922"
"Fairy Tail","Angel Beats!","0.520047686073801"
"Angel Beats!","Fairy Tail","0.520047686073801"
"Fairy Tail","Code Geass: Lelouch of the Rebellion","0.562895054606942"
"Code Geass: Lelouch of the Rebellion","Fairy Tail","0.562895054606942"
"Tokyo Ghoul","Fullmetal Alchemist: Brotherhood","0.429819321350371"
"Fullmetal Alchemist: Brotherhood","Tokyo Ghoul","0.429819321350371"
"Tokyo Ghoul","Steins;Gate","0.40986206518668"
"Steins;Gate","Tokyo Ghoul","0.40986206518668"
"Tokyo Ghoul","Naruto","0.485039543713666"
"Naruto","Tokyo Ghoul","0.485039543713666"
"Tokyo Ghoul","Sword Art Online II","0.351099831632844"
"Sword Art Online II","Tokyo Ghoul","0.351099831632844"
"Tokyo Ghoul","Blue Exorcist","0.379597686580399"
